z,mean,median,mode
0.11,95.61515041257357,72.0,58.0
0.112,97.35654280075883,72.0,60.0
0.114,99.0990123024234,74.0,60.0
0.116,100.84255236162625,76.0,62.0
0.11800000000000001,102.58715630568754,76.0,62.0
0.12,104.33281793064322,78.0,64.0
0.122,106.07953117484601,80.0,66.0
0.124,107.82728962055745,80.0,66.0
0.126,109.57608654142196,82.0,68.0
0.128,111.32591541182127,84.0,68.0
0.13,113.07677018835247,84.0,70.0
0.132,114.82864473608649,86.0,72.0
0.134,116.58153274299052,88.0,72.0
0.136,118.33542776669266,88.0,74.0
0.138,120.09032339977702,90.0,74.0
0.14,121.8462132863813,92.0,76.0
0.14200000000000002,123.60309104061284,94.0,78.0
0.14400000000000002,125.36095049548202,94.0,78.0
0.146,127.11978548429319,96.0,80.0
0.148,128.87958982036574,98.0,80.0
0.15,130.6403573536215,98.0,82.0
0.152,132.40208186519112,100.0,84.0
0.154,134.16475707872962,102.0,84.0
0.156,135.92837666428406,102.0,86.0
0.158,137.69293426408942,104.0,86.0
0.16,139.45842378426997,106.0,88.0
0.162,141.22483924596736,108.0,90.0
0.164,142.99217461752107,108.0,90.0
0.166,144.76042386680797,110.0,92.0
0.168,146.5295809352067,112.0,92.0
0.17,148.299639722038,112.0,94.0
0.17200000000000001,150.07059414380925,114.0,96.0
0.17400000000000002,151.8424381090488,116.0,96.0
0.176,153.61516549683174,118.0,98.0
0.178,155.38877030531623,118.0,100.0
0.18,157.1632466293733,120.0,100.0
0.182,158.93858853302962,122.0,102.0
0.184,160.71479009771593,122.0,102.0
0.186,162.4918454660095,124.0,104.0
0.188,164.2697487607949,126.0,106.0
0.19,166.0484940853,128.0,106.0
0.192,167.82807556210733,128.0,108.0
0.194,169.60848730805037,130.0,110.0
0.196,171.38972342145917,132.0,110.0
0.198,173.17177808068286,132.0,112.0
0.2,174.95464560429113,134.0,112.0
0.202,176.73832030628884,136.0,114.0
0.20400000000000001,178.52279648518845,138.0,116.0
0.20600000000000002,180.30806842079468,138.0,116.0
0.20800000000000002,182.09413037859272,140.0,118.0
0.21,183.88097661631284,142.0,120.0
0.212,185.66860141105647,142.0,120.0
0.214,187.45699920334624,144.0,122.0
0.216,189.2461644955327,146.0,124.0
0.218,191.03609178317018,148.0,124.0
0.22,192.8267755568666,148.0,126.0
0.222,194.61821030546352,150.0,128.0
0.224,196.41039051639888,152.0,128.0
0.226,198.20331067653441,154.0,130.0
0.228,199.99696528246523,154.0,130.0
0.23,201.79134890454563,156.0,132.0
0.232,203.58645614941335,158.0,134.0
0.234,205.3822816259741,160.0,134.0
0.23600000000000002,207.17881995066426,160.0,136.0
0.23800000000000002,208.97606583605952,162.0,138.0
0.24,210.77401408639062,164.0,138.0
0.242,212.57265951192608,164.0,140.0
0.244,214.37199692641542,166.0,142.0
0.246,216.17202113078676,168.0,142.0
0.248,217.97272687972753,170.0,144.0
0.25,219.7741089263093,170.0,146.0
0.252,221.57616203287515,172.0,146.0
0.254,223.37888097804722,174.0,148.0
0.256,225.18226068552252,176.0,150.0
0.258,226.986296217675,176.0,150.0
0.26,228.790982648858,178.0,152.0
0.262,230.5963150607796,180.0,154.0
0.264,232.40228853189043,182.0,154.0
0.266,234.2088980520833,182.0,156.0
0.268,236.01613857367175,184.0,158.0
0.27,237.8240050622748,186.0,158.0
0.272,239.6324924978198,188.0,160.0
0.274,241.44159590159538,188.0,162.0
0.276,243.25131049358453,190.0,162.0
0.278,245.06163158331745,192.0,164.0
0.28,246.87255449124984,194.0,166.0
0.28200000000000003,248.6840745490779,194.0,166.0
0.28400000000000003,250.49618709639435,196.0,168.0
0.28600000000000003,252.30888744448345,198.0,170.0
0.28800000000000003,254.12217089430123,200.0,170.0
0.29,255.9360327612595,200.0,172.0
0.292,257.75046837600945,202.0,174.0
0.294,259.56547308539564,204.0,174.0
0.296,261.3810422744233,206.0,176.0
0.298,263.1971713739857,206.0,178.0
0.3,265.0138558329723,208.0,178.0
0.302,266.83109111589835,210.0,180.0
0.304,268.64887270088025,212.0,182.0
0.306,270.4671960926972,214.0,182.0
0.308,272.28605688824143,214.0,184.0
